RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03
9,California,1,25344,25797,26226,27761,29858,31160,33834,35621,36115,36873,38084,40658,40041,37838,35411,35057,35886,35617,36153,36234,37660,38689,38841,39419,38479,37251,35936,35026,33530,31722,30973,30844,32106,33636,36591,38054,38088,36118,33967,32580,31830,32594,32913,33109,33674,34839,37699,39925,40294,38608,36961,35693,35550,35782,35051,36036,36634,39206,40800,41656,40985,39519,38433,37051,37354,37100,37375,36717,35990,36134,36721,37291,36610,35924,35071,35000,34892,34570,35198,35449,35076,35455,35577,37048,37289,37843,37750,38475,39148,38992,38985,37750,36838,37159,37876,39814,39250,38732,37941,38246,37866,38454,38663,39239,40361,40501,42034,41362,41774,39753,39845,40149,40499,40850,40095,40558,40408,39643,40369,40193,40779,39608,39222,38560,38406,37861,36090,35745,35044,34818,34982,35991,37162,37053,37110,36672,37194,36519,37050,37179,37208,37459,37518,37286,
54,Texas,2,28093,26830,25114,25053,24751,24318,23436,22690,21522,21318,21138,22353,22526,21982,20788,21081,22031,22613,22665,22584,24524,24902,24303,22945,23126,24338,24491,24391,22182,20710,19137,19154,20107,20738,22387,22108,22492,21639,21640,21396,21008,21621,21434,21491,21411,21755,23430,24352,24816,23994,23781,23946,24574,24717,24282,24808,25370,26185,27482,28117,28584,28973,29050,29312,29060,29512,29900,29315,28653,28442,29058,29218,29124,28788,28871,29465,29988,29255,30031,30202,30879,30845,30784,31028,31000,30499,30375,30724,31705,32069,32093,31617,31126,31318,31909,33835,33778,33238,31971,32066,31827,32836,32715,32772,32989,33055,34668,34688,35283,33720,33607,33369,33491,32790,31935,32557,33906,34535,36322,36457,36488,35439,35376,35704,35437,35195,34125,33966,33662,33528,33530,33251,33539,33361,33339,32631,32392,31745,31723,31305,31241,31951,32508,33197,
43,New York,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9111,9364,9643,10459,11011,10737,10457,10110,10143,9950,9708,9671,9656,10169,10507,11066,11278,11431,11411,11186,11021,10671,10533,10562,10670,11388,11902,12302,12173,12396,12333,12657,12759,13437,13511,13310,13187,13117,13031,12837,12835,12994,12928,12966,12836,12979,13202,13127,13510,13139,13807,13899,14349,13796,13856,14331,14783,15113,14763,14937,14876,14825,15458,16402,17022,16445,15779,15465,15922,16007,15866,15914,15784,16497,17033,17657,17660,17436,17298,16686,16836,16284,16592,16350,16390,16769,17026,17081,16836,16363,16324,16213,16285,15819,16154,16034,15925,15320,14867,15041,15365,15526,15343,15324,15368,15671,15503,15705,15863,16380,17328,14819
14,Florida,4,18451,17930,17655,18100,18512,18192,18527,18630,18660,18753,19301,20633,21148,20941,20809,21619,22943,23734,24601,25450,27104,27981,28315,27768,27811,27556,27261,26918,26084,25519,24855,24756,25546,26497,29087,30587,31524,30445,29342,28047,26842,26989,26883,26810,27125,27419,29058,29827,30303,30045,29634,29081,28778,28715,28837,30367,32092,33816,35354,35712,35754,35234,35224,35176,35291,35218,35667,35626,35657,36033,36609,37017,36584,36177,36070,36371,36542,36310,37229,38183,39038,40179,39849,40914,40685,41331,40233,40601,40843,40740,40730,39944,40188,39697,39504,40235,39784,39540,38632,38924,38560,38886,38435,38145,38730,38864,40185,39905,40922,40055,40778,40674,41082,40880,37514,37523,37171,39709,41029,41397,42103,42010,42600,42713,42545,42598,41815,41821,41771,41195,40859,39274,39689,39879,40770,39529,39548,38980,40412,40109,40749,42044,42899,42431,
21,Illinois,5,15515,14687,13300,12844,12882,12785,13177,12905,12377,11654,11297,11859,12020,11909,11210,11074,11548,11873,12453,12824,14274,14973,14893,14529,14227,14420,14034,13854,12878,11836,10814,10296,10669,11058,12194,12618,12866,12027,11503,11244,11155,11466,11427,11557,11779,12243,13616,14702,14989,14253,13513,13387,13327,13467,12959,13115,12925,13273,14741,15511,15714,14839,14244,14037,14549,14984,15639,15722,16128,16464,17096,17374,16925,16132,15468,15773,15819,15419,16050,16555,16833,16868,16459,17315,17163,17264,16664,16891,17645,18674,19361,19285,18655,18283,18360,20251,20603,20676,19625,19796,19752,19931,19506,18861,18418,18404,19649,20490,21390,20595,20405,20032,20075,20004,19315,19078,19041,18970,19623,19411,19729,19640,19836,20089,19577,18651,17371,17051,17187,17261,16505,16509,16458,17237,17257,17264,17371,16908,16964,16632,16441,16827,17164,18020,16023
47,Pennsylvania,6,13123,12830,11821,11561,11408,11206,11171,10885,10494,9980,9415,9660,9680,9913,9494,9686,10152,10626,10976,11070,11991,12148,11334,10316,10260,11165,11495,11875,11264,10356,9203,8777,9090,9287,9731,10364,10633,10461,9860,9715,9646,9951,9780,9733,9563,9651,10214,10981,11177,11053,10636,10515,10640,10701,10329,10327,10531,11214,11785,12271,12288,12284,11993,12058,12215,12287,12561,12313,12077,11947,11984,12257,12159,12047,11765,12115,12307,12468,12525,12705,12672,12950,12869,13627,13732,13879,13271,13309,14055,14341,14601,14278,14202,14164,14219,15524,15708,15690,14907,15074,14994,15185,14956,14766,14805,14948,15862,16508,17049,16436,16111,15790,15772,15664,15353,15715,16022,16069,16765,16964,17079,16751,16397,16602,16416,16503,16111,16078,16050,16060,16007,16190,16469,16770,16712,16419,16315,15959,16114,15942,16037,16305,16841,17721,
44,Ohio,7,13732,13192,12106,12009,11728,11442,11415,11398,10999,10757,10430,11125,10962,10880,10041,10043,10160,10507,10765,11138,11713,11940,11604,11366,11306,11769,11981,12105,10880,9761,8962,9020,9277,9552,10401,11068,11361,11072,10645,10240,9928,10090,10195,10220,10060,10230,11165,12247,12520,12116,11446,11136,10844,10832,10632,11044,11090,11608,12539,13524,13733,13348,13003,13166,13280,13344,13242,13136,12909,12916,13000,13227,12916,12539,12273,12664,13080,12837,13030,13130,13158,13516,13773,14897,14890,14890,14436,14694,14943,14991,14934,14668,14156,14006,14467,16009,16198,16096,15495,15782,15425,15495,15536,15602,15501,15584,16377,17047,17314,16835,16713,16620,16425,16452,16278,16794,16762,16818,17251,17337,17460,17231,17130,17068,16851,16977,16598,16839,16752,17081,17370,18115,18203,18309,18083,17906,17692,17403,17951,18362,18483,18928,19786,21147,
30,Michigan,8,13375,13490,12653,12250,11793,11323,11396,11388,11360,11558,11827,12869,13413,13884,13379,12701,12393,12144,12342,11921,12602,13407,13909,14361,14484,15103,14409,13769,12221,11248,10497,10440,11301,11910,12879,13419,13959,13865,12998,12093,11496,11841,11898,11708,12848,13220,14251,14492,15284,15424,14549,13825,13436,13316,13153,13704,16295,17050,17823,16570,16797,16421,15559,15007,14738,14574,14879,14883,16675,16734,16697,15088,14501,14158,13513,13479,13705,13676,14003,14178,15879,16681,16428,15311,14742,15086,14611,15028,15063,15532,15280,15273,16053,16181,16263,16310,16595,16642,16121,15971,15870,16010,16366,15654,14995,14714,15965,16891,17397,16514,16501,16368,16816,16907,16397,16386,15926,15922,16278,16242,16253,16114,16542,16606,16795,16803,16554,16224,15630,15426,15078,15654,15851,16155,15902,15718,16023,15902,16217,15963,15668,15644,16161,16327,
16,Georgia,9,13847,12505,11667,11454,11399,11279,11724,11771,11248,10858,10612,10650,10194,9432,9096,9119,9626,10005,10282,10211,10637,11062,10996,10520,9990,10128,10252,10337,9761,9304,9886,11204,12634,12316,11821,10884,10701,10074,10059,10069,10724,11606,12447,12524,12373,12116,14364,15330,15722,13991,13465,13525,13489,13657,13502,13996,14298,14455,15924,16200,16382,14968,14631,14388,14247,14084,14166,14089,14068,13991,15451,15600,15690,14169,14285,14367,14469,14374,14674,14838,14508,14580,15826,16416,16361,15840,15570,15815,15431,15416,15472,14976,14314,14422,15527,17003,17230,16956,16881,17368,17888,18928,19820,19930,19737,19629,19601,18624,17910,17261,18136,18069,18123,17735,17519,17687,17732,18221,18876,18958,18685,18556,18853,19028,18882,19121,18777,18705,18320,18079,18621,18547,18940,18706,19003,18672,18837,18523,19104,19042,19041,19259,19926,20300,
36,North Carolina,10,11229,10775,9915,9769,9601,9265,9003,8568,7874,7497,7307,7908,7947,7824,7375,7528,7987,8133,8329,8424,8977,9010,8676,8419,8444,8935,8975,9041,8205,7593,7064,7034,7196,7565,8035,8319,8279,8107,7840,7633,7375,7513,7473,7406,7290,7386,7979,8683,8861,8685,8328,8361,8326,8393,8215,8525,8792,9358,10047,10497,10610,10614,10701,10717,10687,10612,10604,10481,10364,10574,10990,11190,10997,10639,10555,10740,10999,11051,11146,11257,11112,11512,11641,12116,12134,11742,11265,11400,12197,12617,12652,12309,11904,11816,12043,13251,13544,13747,13599,14056,14036,14278,14214,14213,14695,14886,15846,15806,16272,15685,15470,15318,15207,15445,15389,15895,15960,15768,15978,16079,16189,16018,15914,16039,15855,15966,14959,14980,14733,15045,15283,15712,16270,16104,15963,15805,16023,16068,16272,16629,16613,16929,17291,17878,
